Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"8463-1","Technic","",2001,"Forklift",1,235,,30,,,,,28.8,24,4.8,,"",0,0,0,,0,0,,,,,,,,,80.0000,21.9600,"01/09/2001","31/12/2001"
"8464-1","Technic","",2001,"Pneumatic Front-End Loader",,591,,70,,,5702010984596,,43.2,28.8,7.2,,"",0,0,0,,0,0,,,,,,,,,420.6000,86.5500,"01/09/2001","31/12/2001"
"8465-1","Technic","",2001,"Extreme Off Roader",,365,29.99,40,,,5702012014291,,33.6,28.8,6,,"",0,0,0,,0,0,,,,,,,,,184.9700,46.4400,"01/09/2001","31/12/2003"
"8466-1","Technic","",2001,"4x4 Off-Roader",,1102,79.99,119.99,,,,,59.2,43.2,7.2,,"",0,0,0,,0,0,,,,,,,,,450.0800,158.9900,"01/09/2001","31/12/2003"
"8525-1","Bionicle","Accessories",2001,"Masks",,6,,2,,,,042884085254,,,,,"",0,0,0,,0,0,,,,,,,,,66.1000,27.4400,"",""
"8530-1","Bionicle","Accessories",2001,"Masks",,6,1.49,,,,5702012014062,,,,,,"",0,0,0,,0,0,,,,,,,,,106.7400,17.6700,"",""
"8531-1","Bionicle","Toa Mata",2001,"Pohatu",,49,4.99,7,,,,042884085315,8.8,18.7,8.8,,"",0,0,0,,0,0,,,,,,,,,111.5600,19.4300,"01/02/2001","30/06/2002"
"8532-1","Bionicle","Toa Mata",2001,"Onua",,30,4.99,7,,,,042884085322,8.8,18.7,8.8,,"",0,0,0,,0,0,,,,,,,,,95.3400,17.6800,"01/08/2001","30/06/2002"
"8533-1","Bionicle","Toa Mata",2001,"Gali",,35,4.99,7,,,,042884085339,8.8,18.7,8.8,,"",0,0,0,,0,0,,,,,,,,,137.2300,18.0400,"01/02/2001","30/06/2002"
"8534-1","Bionicle","Toa Mata",2001,"Tahu",,33,4.99,7,,,,042884085346,8.8,18.8,8.8,,"",0,0,0,,0,0,,,,,,,,,212.5800,24.9500,"01/02/2001","30/06/2002"
"8535-1","Bionicle","Toa Mata",2001,"Lewa",,36,4.99,7,,,,042884085353,8.8,18.8,8.8,,"",0,0,0,,0,0,,,,,,,,,163.5200,19.4200,"01/02/2001","30/06/2002"
"8536-1","Bionicle","Toa Mata",2001,"Kopaka",,33,4.99,7,,,,042884085360,8.8,18.8,8.8,,"",0,0,0,,0,0,,,,,,,,,141.4700,23.1600,"01/02/2001","30/06/2002"
"8537-1","Bionicle","Rahi",2001,"Nui-Rama",,146,10.99,15,,,,,14.4,24,6,,"",0,0,0,,0,0,,,,,,,,,139.0000,42.7600,"01/08/2001","31/12/2002"
"8538-1","Bionicle","Rahi",2001,"Muaka & Kane-ra",,633,44.99,70,,,,,38.4,28.8,6,,"",0,0,0,,0,0,,,,,,,,,351.5000,162.0600,"01/08/2001","30/06/2002"
"8539-1","Bionicle","Rahi",2001,"Manas",,442,69.99,90,,,,042884085391,48,28.8,7.2,,"",0,0,0,,0,0,,,,,,,,,433.3300,285.3100,"01/08/2001","30/06/2002"
"8540-1","Bionicle","Turaga",2001,"Vakama",,28,,3,,,5702012014161,042884085407,9.6,14.4,3.9,,"",0,0,0,,0,0,,,,,,,,,39.8200,11.2500,"01/04/2001","31/12/2001"
"8541-1","Bionicle","Turaga",2001,"Matau",,26,,3,,,,042884085414,9.6,14.4,3.9,,"",0,0,0,,0,0,,,,,,,,,48.3100,12.6600,"01/04/2001","31/12/2001"
"8542-1","Bionicle","Turaga",2001,"Onewa",,30,,3,,,,,9.6,14.4,3.9,,"",0,0,0,,0,0,,,,,,,,,26.6300,8.8000,"01/04/2001","31/12/2001"
"8543-1","Bionicle","Turaga",2001,"Nokama",,27,,3,,,,042884085438,9.6,14.4,3.9,,"",0,0,0,,0,0,,,,,,,,,21.9200,9.7300,"01/04/2001","31/12/2001"
"8544-1","Bionicle","Turaga",2001,"Nuju",,29,,3,,,,,9.6,14.4,3.9,,"",0,0,0,,0,0,,,,,,,,,27.9200,11.2400,"01/04/2001","31/12/2001"
"8545-1","Bionicle","Turaga",2001,"Whenua",,28,,3,,,,,9.6,14.4,3.9,,"",0,0,0,,0,0,,,,,,,,,34.3300,11.9300,"01/04/2001","31/12/2001"
"8546-1","Bionicle","Promotional",2001,"Bionicle Power Pack",,10,9.99,15,,,5702012019135,601215883220,,,,,"",0,0,0,,0,0,,,,,,,,,169.2500,53.7100,"",""
"8548-1","Bionicle","Rahi",2001,"Nui-Jaga",,218,22.99,35,,,5702012016745,,33.6,24,4.8,,"",0,0,0,,0,0,,,,,,,,,129.4900,77.9300,"01/08/2001","31/12/2002"
"8549-1","Bionicle","Rahi",2001,"Tarakava",,411,29.99,50,,,5702012016752,,33.6,28.8,6,,"",0,0,0,,0,0,,,,,,,,,119.5100,133.1000,"01/08/2001","30/06/2002"
"9126-1","Education","Duplo",2001,"Dolls Medium Set",4,24,24.48,43.25,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,58.5300,"",""
"9127-1","Education","Duplo",2001,"Dolls Large Set",8,63,78.3,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"9302-1","Education","",2001,"Community Builders Set",,1670,118.3,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,142.0500,,"",""
"9303-1","Education","",2001,"Airport Set",4,1180,88.75,89,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,76.2500,,"",""
"9783-1","Education","",2001,"Infrared Transmitter with USB Cable",,2,26.41,30,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,12.8300,"",""
"9784-1","Education","FIRST LEGO League Challenge",2001,"Arctic Impact Challenge Kit",,1368,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"9795-1","Education","",2001,"Intelligent House Set",,156,98.47,105,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"10000-1","Castle","Lion Knights",2001,"Guarded Inn",4,253,,25,,,5702014151147,673419010047,28.8,19.2,6,,"",0,0,0,,0,0,,,,,,,,,383.4500,209.6600,"31/05/2001","31/07/2002"
"10001-1","Trains","9V",2001,"Metroliner",11,782,,149,,,5702014151468,673419010078,48,28.8,9.6,,"",0,0,0,,0,0,,,,,,,,,884.9200,316.9300,"31/08/2001","31/08/2002"
"10002-1","Trains","9V",2001,"Railroad Club Car",5,293,,37.5,,,,,28.8,28.8,6,,"",0,0,0,,0,0,,,,,,,,,502.6800,229.8700,"31/08/2001","31/08/2002"
"10003-1","Bulk Bricks","",2001,"1x2 Sand Red Bricks",,100,,6,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,80.0000,41.6500,"",""
"10004-1","Bulk Bricks","",2001,"2x2 Sand Red Bricks",,100,,7,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,70.7000,,"",""
"10005-1","Bulk Bricks","",2001,"2x4 Sand Red Bricks",,50,,7,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"10006-1","Bulk Bricks","",2001,"1x6 Sand Red Bricks",,50,,7,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,52.5800,23.3800,"",""
"10007-1","Bulk Bricks","",2001,"2x4 Sand Red Ridge Roof Tiles, Steep Sloped",,25,,5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.6300,,"",""
"10008-1","Bulk Bricks","",2001,"2x4 Sand Red Roof Bricks",,50,,8,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,25.7700,,"",""
"10009-1","Bulk Bricks","",2001,"Assorted Blue Bricks",,62,,5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,9.0800,,"",""
"10010-1","Bulk Bricks","",2001,"Assorted Yellow Bricks",,62,,4.99,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,10.9600,5.5100,"",""
"10011-1","Bulk Bricks","",2001,"Assorted Blue Plates",,42,,4.99,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,7.7300,10.0000,"",""
"10012-1","Bulk Bricks","",2001,"Assorted Yellow Plates",,42,,5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,12.6200,,"",""
"10013-1","Trains","9V",2001,"Open Freight Wagon",,121,,17,,,5702014154360,673419011860,28.8,19.2,4.8,,"",0,0,0,,0,0,,,,,,,,,64.9900,52.0100,"23/07/2001","31/12/2003"
"10014-1","Trains","9V",2001,"Caboose",,170,,15,,,5702014154377,673419011877,19.2,19.2,6,,"",0,0,0,,0,0,,,,,,,,,85.0000,56.1100,"23/07/2001","31/12/2003"
"10015-1","Trains","9V",2001,"Green Passenger Wagon",,194,,19.99,,,5702014154384,673419011884,28.8,19.2,6,,"",0,0,0,,0,0,,,,,,,,,84.6800,74.0900,"20/08/2001","31/12/2003"
"10016-1","Trains","9V",2001,"Tanker",,128,,20,,,5702014154391,673419011891,28.8,19.2,6,,"",0,0,0,,0,0,,,,,,,,,129.9900,84.1100,"20/08/2001","31/12/2003"
"10017-1","Trains","9V",2001,"Hopper Wagon",,228,,20,,,5702014154407,673419011907,28.8,19.2,6,,"",0,0,0,,0,0,,,,,,,,,75.6600,56.9000,"20/08/2001","31/12/2003"
"10018-1","Star Wars","Ultimate Collector Series",2001,"Darth Maul",,1868,,149.99,,,5702014156845,,57.6,48,11.4,,"",0,0,0,,0,0,,,,,,,,,4240.9000,597.3800,"29/10/2001","31/10/2002"
"10019-1","Star Wars","Ultimate Collector Series",2001,"Rebel Blockade Runner",,1747,,200,,,5702014156852,673419012683,65.2,48,11.4,,"",0,0,0,,0,0,,,,,,,,,1534.1900,555.5500,"05/11/2001","31/12/2003"
"10111-1","Bulk Bricks","",2001,"Foliferous Tree",,10,,6,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,28.8000,0.0900,"",""
"10112-1","Bulk Bricks","",2001,"Bush",,25,,7,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,22.7000,,"",""
"10113-1","Bulk Bricks","",2001,"Cypress Tree",,5,,5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,131.0300,,"",""
"10114-1","Bulk Bricks","",2001,"2 x 2 Sand Red Roof Tile",,100,,7.99,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,26.2200,,"",""
"10115-1","Bulk Bricks","",2001,"Jumper Bricks",,80,,4.99,,,,673419014618,,,,,"",0,0,0,,0,0,,,,,,,,,5.4000,,"",""
"16073-1","Gear","Storage",2001,"Bionicle Mask Storage Case",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"18636-1","Gear","Trading/Playing cards",2001,"Trading Card Booster Pack",,,,3,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"78777-1","Space","Life On Mars",2001,"Alien Discovery",,122,,8,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,50.1100,30.0000,"",""
"78800-1","Sports","Product Collection",2001,"Soccer Co-Pack",,129,,20,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,83.2500,49.9900,"",""
"78880-1","Sports","Product Collection",2001,"Football Co-Pack",,125,,19.99,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"922213-1","Gear","Stationery",2001,"Brick Eraser Set",,,1.99,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"4151847-1","Gear","Trading/Playing cards",2001,"Bionicle Trading Card Game 1: Gali & Pohatu",,,,15,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"4151848-1","Gear","Trading/Playing cards",2001,"Bionicle Trading Card Game 1: Tahu & Kopaka",,,,15,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"4151849-1","Gear","Trading/Playing cards",2001,"Bionicle Trading Card Game 1: Onua & Lewa",,,,15,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"ISBN9781886411401-1","Books","No Starch Press",2001,"Joe Nagata's LEGO Mindstorms Idea Book",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"LLCABR1-1","Promotional","LEGOLAND",2001,"Hau Mask - Green Brick (Legoland California)",,168,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,429.0900,14.9900,"",""
"MM38JAN2001-1","Books","Mania Magazine",2001,"Mania Magazine January - February 2001",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM39MAR2001-1","Books","Mania Magazine",2001,"Mania Magazine March - April 2001",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM40MAY2001-1","Books","Mania Magazine",2001,"Mania Magazine May - June 2001",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM41JUL2001-1","Books","Mania Magazine",2001,"Mania Magazine July - August 2001",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM42SEP2001-1","Books","Mania Magazine",2001,"Mania Magazine September - October 2001",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM43NOV2001-1","Books","Mania Magazine",2001,"Mania Magazine November - December 2001",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"W9910-1","Gear","Watches/Clocks",2001,"Cyclone Master Watch",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""







